Transaction ID,Products,,,,
1,Tivi,May loc nuoc,Loa,,
2,May giat,May pha ca phe,May Massage,,
3,Tu lanh,Quat,May in,,
4,Sofa,Den,,,
5,May loc khong khi,May xay da nang,May do huyet ap,Ke tivi,
6,Noi com dien,May hut bui,Ban,,
7,May rua chen,May lam kem,,,
8,Tivi,May nuoc nong lanh,May phun suong,,
9,Tu cham soc quan ao thong minh,Ghe,May chieu,,
10,Tu ruou,Lo vi song,Can,,
11,Quat,May lam da vien,May do do am,,
12,May xay da nang,May hut bui,,,
13,May loc nuoc,Bep,May tro thinh,,
14,May pha ca phe,Lo nuong,May tam nuoc,,
15,Lo vi song,Cac loai noi,,,
16,Bep,Noi chien khong dau,May in,,
17,Lo nuong,Noi lau,May huy tai lieu,,
18,Cac loai noi,May lam kem,,,
19,May hut bui,May xay ca phe,May Massage,,
20,Binh giu nhiet,May do huyet ap,,,
21,Do ve sinh,May phun suong,Sofa,,
22,May lam sua chua,May xong hoi,,,
23,Dung cu pha che,May do do am,Ban,,
24,May xay bot,Ghe,,,
25,Ca phe,May do duong huyet,Ke tivi,,
26,May Massage,May tro thinh,,,
27,Can,May tam nuoc,Tranh treo tuong,,
28,May do huyet ap,Dai nep chan tay,,,
29,May phun suong,Dai lung,Dong ho,,
30,May xong hoi,Nhiet ke,,,
31,May do do am,Khau trang,Gia treo tuong,,
32,May do duong huyet,May tao nuoc khu khuan,,,
33,May tro thinh,Sofa,Den,,
34,May tam nuoc,Ban,Cay kieng,,
35,Dai nep chan tay,Ghe,,,
36,Dai lung,Goi trang tri,May in,,
37,Nhiet ke,Ke tivi,,,
38,Khau trang,Tranh treo tuong,May chieu,,
39,May tao nuoc khu khuan,Dong ho,,,
40,Sofa,Gia treo tuong,May huy tai lieu,,
41,Ban,Den,,,
42,Ghe,Cay kieng,May tinh bo tui,,
43,Goi trang tri,May cham cong,,,
44,Ke tivi,Ket sat,,,
45,Tranh treo tuong,May photocopy,,,
46,Dong ho,May dong sach,,,
47,Gia treo tuong,Ban lam viec,,,
48,Den,Ghe van phong,,,
49,Cay kieng,Tu van phong,,,
50,May in,Tivi,May loc khong khi,,
51,May chieu,Tu lanh,Quat,,
52,May huy tai lieu,May giat,May xay da nang,,
53,May tinh bo tui,May loc nuoc,,,
54,May cham cong,May pha ca phe,Lo vi song,,
55,Ket sat,Bep,,,
56,May photocopy,Lo nuong,Cac loai noi,,
57,May dong sach,Noi chien khong dau,,,
58,Ban lam viec,Noi lau,May lam kem,,
59,Ghe van phong,May xay ca phe,,,
60,Tu van phong,Binh giu nhiet,Do ve sinh,,
61,Tivi,May lam sua chua,,,
62,Tu lanh,Dung cu pha che,May xay bot,,
63,May giat,Ca phe,,,
64,May loc khong khi,May Massage,Can,,
65,May say quan ao,May do huyet ap,,,
66,Tu mat,May phun suong,May xong hoi,,
67,May hut am,May do do am,,,
68,May lam da vien,May do duong huyet,,,
69,May rua chen,May tro thinh,,,
70,May nuoc nong lanh,May tam nuoc,,,
71,Tu cham soc quan ao thong minh,Dai nep chan tay,,,
72,Tu ruou,Dai lung,,,
73,Loa,Nhiet ke,Khau trang,,
74,Quat,May tao nuoc khu khuan,,,
75,May xay da nang,Sofa,,,
76,May hut bui,Ban,Ghe,,
77,Noi com dien,Goi trang tri,,,
78,May loc nuoc,Ke tivi,,,
79,May pha ca phe,Tranh treo tuong,,,
80,Lo vi song,Dong ho,,,
81,Bep,Gia treo tuong,,,
82,Lo nuong,Den,,,
83,Cac loai noi,Cay kieng,,,
84,Noi chien khong dau,May in,,,
85,Noi lau,May chieu,,,
86,May lam kem,May huy tai lieu,,,
87,May xay ca phe,May tinh bo tui,,,
88,Binh giu nhiet,May cham cong,,,
89,Do ve sinh,Ket sat,,,
90,May lam sua chua,May photocopy,,,
91,Dung cu pha che,May dong sach,,,
92,May xay bot,Ban lam viec,,,
93,Ca phe,Ghe van phong,,,
94,May Massage,Tu van phong,,,
95,Can,Tivi,Tu lanh,,
96,May do huyet ap,May giat,,,
97,May phun suong,May loc khong khi,,,
98,May xong hoi,May say quan ao,Tu mat,,
99,May do do am,May hut am,,,
100,May do duong huyet,May lam da vien,May rua chen,,
101,May loc khong khi,Lo vi song,May Massage,,
102,Tivi,Quat,May in,,
103,Tu lanh,May xay da nang,Sofa,,
104,May giat,May loc nuoc,Ban,,
105,May say quan ao,May pha ca phe,Ghe,,
106,Tu mat,Lo nuong,Goi trang tri,,
107,May hut am,Cac loai noi,Ke tivi,,
108,May lam da vien,Noi chien khong dau,Tranh treo tuong,,
109,May rua chen,Noi lau,,,
110,May nuoc nong lanh,May lam kem,Dong ho,,
111,Tu cham soc quan ao thong minh,May xay ca phe,,,
112,Tu ruou,Binh giu nhiet,Gia treo tuong,,
113,Loa,Do ve sinh,Den,,
114,Quat,May lam sua chua,Cay kieng,,
115,May xay da nang,Dung cu pha che,,,
116,May hut bui,May xay bot,May in,,
117,Noi com dien,Ca phe,May chieu,,
118,May loc nuoc,May Massage,,,
119,May pha ca phe,Can,May huy tai lieu,,
120,Lo vi song,May do huyet ap,,,
121,Bep,May phun suong,May tinh bo tui,,
122,Lo nuong,May xong hoi,,,
123,Cac loai noi,May do do am,May cham cong,,
124,Noi chien khong dau,May do duong huyet,,,
125,Noi lau,May tro thinh,Ket sat,,
126,May lam kem,May tam nuoc,,,
127,May xay ca phe,Dai nep chan tay,May photocopy,,
128,Binh giu nhiet,Dai lung,,,
129,Do ve sinh,Nhiet ke,May dong sach,,
130,May lam sua chua,Khau trang,,,
131,Dung cu pha che,May tao nuoc khu khuan,Ban lam viec,,
132,May xay bot,Sofa,,,
133,Ca phe,Ban,Ghe van phong,,
134,May Massage,Ghe,,,
135,Can,Goi trang tri,Tu van phong,,
136,May do huyet ap,Ke tivi,,,
137,May phun suong,Tranh treo tuong,,,
138,May xong hoi,Dong ho,,,
139,May do do am,Gia treo tuong,,,
140,May do duong huyet,Den,,,
141,May tro thinh,Cay kieng,,,
142,May tam nuoc,May in,,,
143,Dai nep chan tay,May chieu,,,
144,Dai lung,May huy tai lieu,,,
145,Nhiet ke,May tinh bo tui,,,
146,Khau trang,May cham cong,,,
147,May tao nuoc khu khuan,Ket sat,,,
148,Sofa,May photocopy,,,
149,Ban,May dong sach,,,
150,Ghe,Ban lam viec,,,
151,Goi trang tri,Ghe van phong,,,
152,Ke tivi,Tu van phong,,,
153,Tranh treo tuong,Tivi,,,
154,Dong ho,Tu lanh,,,
155,Gia treo tuong,May giat,,,
156,Den,May loc khong khi,,,
157,Cay kieng,May say quan ao,,,
158,May in,Tu mat,,,
159,May chieu,May hut am,,,
160,May huy tai lieu,May lam da vien,,,
161,May tinh bo tui,May rua chen,,,
162,May cham cong,May nuoc nong lanh,,,
163,Ket sat,Tu cham soc quan ao thong minh,,,
164,May photocopy,Tu ruou,,,
165,May dong sach,Loa,,,
166,Ban lam viec,Quat,,,
167,Ghe van phong,May xay da nang,,,
168,Tu van phong,May hut bui,,,
169,Tivi,Noi com dien,,,
170,Tu lanh,May loc nuoc,,,
171,May giat,May pha ca phe,,,
172,May loc khong khi,Lo vi song,,,
173,May say quan ao,Bep,,,
174,Tu mat,Lo nuong,,,
175,May hut am,Cac loai noi,,,
176,May lam da vien,Noi chien khong dau,,,
177,May rua chen,Noi lau,,,
178,May nuoc nong lanh,May lam kem,,,
179,Tu cham soc quan ao thong minh,May xay ca phe,,,
180,Tu ruou,Binh giu nhiet,,,
181,Loa,Do ve sinh,,,
